epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1554.16,0.77187,0.66244,0.94284,0.92481,0.92025,0.90596,0.69345,0.73578,0.6297,0.85946,0.000990365,0.000990365,0.000990365
43,1589.32,0.83291,0.7378,0.96036,0.9026,0.93443,0.90335,0.69551,0.77167,0.60913,0.86075,0.000973861,0.000973861,0.000973861
44,1625.35,0.79928,0.69477,0.94355,0.90493,0.92451,0.89422,0.68941,0.71072,0.61387,0.85912,0.000957358,0.000957358,0.000957358
45,1662.46,0.77342,0.62552,0.95258,0.92096,0.92511,0.90926,0.68011,0.75611,0.59669,0.87098,0.000940855,0.000940855,0.000940855
46,1697.97,0.70862,0.61666,0.93483,0.93509,0.91742,0.90495,0.70277,0.71949,0.56297,0.86542,0.000924352,0.000924352,0.000924352
47,1734.73,0.75249,0.67744,0.9506,0.91465,0.93128,0.90783,0.70517,0.67986,0.55461,0.8469,0.000907848,0.000907848,0.000907848
48,1770.05,0.73128,0.58983,0.9385,0.92235,0.9405,0.91309,0.71653,0.70243,0.57423,0.8534,0.000891345,0.000891345,0.000891345
49,1806.42,0.71886,0.5979,0.93888,0.91917,0.91742,0.91887,0.70603,0.71069,0.57581,0.86603,0.000874842,0.000874842,0.000874842
50,1841.88,0.7144,0.60161,0.93221,0.90841,0.93839,0.92098,0.71183,0.7505,0.55983,0.85905,0.000858338,0.000858338,0.000858338
51,1878.2,0.74415,0.61844,0.92185,0.91093,0.93281,0.91804,0.71624,0.72721,0.58256,0.86104,0.000841835,0.000841835,0.000841835
52,1913.4,0.72244,0.59926,0.91893,0.92314,0.93079,0.91391,0.72708,0.70803,0.55752,0.8597,0.000825332,0.000825332,0.000825332
53,1949.7,0.71713,0.58794,0.93346,0.93034,0.92511,0.91417,0.72037,0.72929,0.57539,0.86661,0.000808828,0.000808828,0.000808828
54,1984.71,0.7099,0.56578,0.93359,0.9117,0.9405,0.91972,0.73371,0.70626,0.57138,0.86843,0.000792325,0.000792325,0.000792325
55,2019.65,0.70669,0.56742,0.93753,0.92539,0.93281,0.90876,0.7205,0.70347,0.53994,0.84857,0.000775822,0.000775822,0.000775822
56,2055.46,0.68283,0.59077,0.92657,0.92176,0.92574,0.90724,0.73086,0.64966,0.5357,0.83878,0.000759318,0.000759318,0.000759318
57,2090.81,0.68486,0.56171,0.92081,0.913,0.93431,0.90437,0.711,0.70158,0.59523,0.84991,0.000742815,0.000742815,0.000742815
58,2126.14,0.77358,0.62983,0.96062,0.9116,0.9405,0.91611,0.72719,0.67821,0.55881,0.84219,0.000726312,0.000726312,0.000726312
59,2161.41,0.71917,0.61526,0.91993,0.91449,0.9405,0.92731,0.73713,0.66087,0.50603,0.83302,0.000709809,0.000709809,0.000709809
60,2196.42,0.70722,0.59782,0.94138,0.92662,0.93507,0.91887,0.73009,0.65179,0.50724,0.8263,0.000693305,0.000693305,0.000693305
61,2231.71,0.6934,0.53105,0.91506,0.92319,0.93281,0.90471,0.71614,0.6633,0.51768,0.83565,0.000676802,0.000676802,0.000676802
62,2266.88,0.67723,0.56547,0.92005,0.91476,0.93281,0.9105,0.7255,0.68971,0.53127,0.84106,0.000660299,0.000660299,0.000660299
63,2301.71,0.69838,0.55189,0.91403,0.92871,0.92511,0.91523,0.73157,0.67063,0.54704,0.8331,0.000643795,0.000643795,0.000643795
64,2337.16,0.69664,0.55947,0.92252,0.92764,0.93111,0.92303,0.73631,0.68085,0.54671,0.84316,0.000627292,0.000627292,0.000627292
65,2372.1,0.68745,0.588,0.90053,0.93179,0.9405,0.93488,0.73569,0.68723,0.54041,0.83689,0.000610789,0.000610789,0.000610789
66,2407.52,0.6414,0.55274,0.90601,0.90893,0.93536,0.91948,0.74041,0.66157,0.53484,0.83557,0.000594286,0.000594286,0.000594286
67,2443.1,0.69551,0.56012,0.90555,0.9126,0.93982,0.91574,0.74077,0.68091,0.52383,0.8464,0.000577782,0.000577782,0.000577782
68,2478.26,0.68436,0.56242,0.92477,0.91683,0.93423,0.92588,0.73291,0.6717,0.50416,0.83933,0.000561279,0.000561279,0.000561279
