timestamp,frame_index,frame_interval,camera_frame_period_ms,capture_ms,preprocess_ms,inference_ms,ncnn_prepare_ms,ncnn_normalize_ms,ncnn_input_ms,ncnn_extract_ms,ncnn_numpy_ms,postprocess_ms,processing_ms,processed_gap_ms,effective_fps,detections,candidates,find_ball,error
2026-06-13T14:05:10,204,1,33.333,10.847,5.025,274.696,1.533,1.118,0.186,271.444,0.275,3.021,294.054,300.13,3.332,1,1,1,5
2026-06-13T14:05:10,206,1,33.333,6.083,5.18,243.958,1.568,1.083,0.186,240.853,0.178,1.96,260.729,268.186,3.729,1,1,1,5
2026-06-13T14:05:10,208,1,33.333,6.83,4.125,301.055,1.141,0.87,0.133,297.808,0.905,5.006,314.078,318.466,3.14,1,1,1,3
2026-06-13T14:05:11,210,1,33.333,308.047,5.056,297.302,1.464,1.221,0.191,294.117,0.182,6.844,318.736,325.725,3.07,1,1,1,3
2026-06-13T14:05:11,213,1,33.333,319.046,5.38,326.015,1.553,1.043,0.198,322.79,0.294,3.765,344.331,354.883,2.818,1,1,1,-1
2026-06-13T14:05:11,214,1,33.333,8.86,5.083,269.664,1.555,1.027,0.185,266.491,0.262,3.766,288.296,295.571,3.383,1,1,1,-1
2026-06-13T14:05:12,216,1,33.333,5.826,6.815,293.078,2.516,1.814,0.304,288.093,0.201,2.949,314.362,323.561,3.091,1,1,1,-1
2026-06-13T14:05:12,218,1,33.333,7.269,5.37,339.766,1.413,1.25,0.207,336.49,0.262,5.816,359.329,368.181,2.716,1,1,1,-1
2026-06-13T14:05:12,221,1,33.333,357.456,5.236,271.8,1.422,1.055,0.185,268.68,0.276,3.201,288.911,294.815,3.392,1,1,1,-1
2026-06-13T14:05:13,222,1,33.333,7.251,5.204,307.291,1.398,1.313,0.236,303.433,0.776,3.093,324.819,332.762,3.005,1,1,1,-1
2026-06-13T14:05:13,224,1,33.333,6.054,5.171,258.526,1.527,1.024,0.194,255.503,0.188,2.567,275.373,284.581,3.514,1,1,1,-1
2026-06-13T14:05:13,226,1,33.333,5.822,2.596,272.973,1.054,0.765,0.127,270.626,0.271,4.202,284.484,288.644,3.464,1,1,1,-1
2026-06-13T14:05:13,228,1,33.333,3.113,5.064,298.889,1.436,1.231,0.209,295.551,0.32,5.946,319.045,325.512,3.072,1,1,1,-1
2026-06-13T14:05:14,230,1,33.333,5.946,5.059,277.121,1.539,1.126,0.203,273.727,0.333,4.588,297.158,302.34,3.308,1,1,1,-1
2026-06-13T14:05:14,232,1,33.333,6.994,5.319,304.645,1.716,1.116,0.225,300.49,0.929,3.248,323.108,330.649,3.024,1,1,1,-1
2026-06-13T14:05:15,234,1,33.333,8.877,7.641,430.233,1.473,1.5,0.209,426.615,0.281,4.418,450.571,454.873,2.198,1,1,1,-1
2026-06-13T14:05:15,236,1,33.333,434.27,5.186,326.625,1.49,1.026,0.186,323.504,0.273,4.13,344.654,352.236,2.839,1,1,1,-1
2026-06-13T14:05:15,238,1,33.333,5.427,5.178,301.388,1.499,1.05,0.186,297.194,1.318,4.547,321.264,327.186,3.056,1,1,1,-1
2026-06-13T14:05:16,240,1,33.333,7.364,5.176,289.422,1.427,1.211,0.262,286.203,0.189,3.633,307.48,312.82,3.197,1,1,1,-1
2026-06-13T14:05:16,242,1,33.333,7.053,7.723,315.612,2.054,1.035,0.199,311.896,0.29,3.545,341.18,347.39,2.879,1,1,1,-1
2026-06-13T14:05:16,244,1,33.333,9.334,5.153,323.709,1.404,1.141,0.228,320.633,0.18,2.446,342.854,350.501,2.853,1,1,1,0
2026-06-13T14:05:16,246,1,33.333,5.309,2.689,194.52,0.999,0.764,0.123,192.168,0.32,6.816,209.223,222.6,4.492,1,1,1,0
2026-06-13T14:05:17,248,1,33.333,3.747,5.366,314.564,1.975,1.449,0.228,310.513,0.26,6.174,336.057,342.784,2.917,1,1,1,0
2026-06-13T14:05:17,250,1,33.333,6.399,5.834,302.285,1.571,1.214,0.193,298.85,0.252,5.213,323.497,328.476,3.044,1,1,1,0
2026-06-13T14:05:17,252,1,33.333,12.019,5.159,273.195,1.513,1.039,0.197,270.02,0.293,4.464,292.129,298.965,3.345,1,1,1,0
2026-06-13T14:05:18,254,1,33.333,6.73,5.555,271.683,1.63,1.208,0.199,268.237,0.271,3.549,291.871,299.369,3.34,1,1,1,0
2026-06-13T14:05:18,256,1,33.333,7.885,5.265,319.593,1.769,1.223,0.234,315.886,0.343,5.894,341.984,348.577,2.869,1,1,1,0
2026-06-13T14:05:18,258,1,33.333,6.415,5.086,301.835,1.503,1.009,0.186,298.781,0.207,4.553,322.331,328.421,3.045,1,1,1,0
2026-06-13T14:05:19,260,1,33.333,5.626,5.072,296.354,1.431,1.295,0.204,291.988,1.276,4.598,314.995,321.65,3.109,1,1,1,0
2026-06-13T14:05:19,262,1,33.333,6.15,5.357,278.949,1.408,1.027,0.197,275.696,0.435,4.697,299.014,305.105,3.278,1,1,1,0
